 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Set/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"42 Santa Catarina";23788;30502;30975;30712;31018;33199;32914;32801;32339;33534;28340;30041;31703;29404;33640;32325;33115;32405;34548;33587;34588;33848;33295;29568;31932;28831;33319;32671;32069;31650;32355;33619;32432;32249;32620;33718;30609;31860;32813;32327;35687;33389;34661;32943;33744;35074;34042;32716;31574;31839;34918;32493;36040;34522;35028;36526;33220;35091;33555;30217;32606;31092;32913;35047;36205;34877;36703;35851;35420;35974;36219;33656;34994;35300;34667;35518;37851;36650;37861;40250;39751;39180;37025;33414;35401;35055;37197;37496;37316;38441;39176;40320;39518;40551;37192;35891;36580;36843;37484;39799;40574;41373;40245;41127;40681;39878;38901;36290;37326;35281;40201;37075;41995;41380;41511;42163;40170;40041;39510;38491;36157;38048;42196;41868;42126;43245;43211;43500;41532;42282;40062;38546;41083;39247;40238;41537;44794;43254;45580;44841;44179;45335;42908;40621;39960;41635;39365;31526;31279;32875;32151;32526;34379;35486;36953;35770;36747;36470;37095;35946;35720;37778;37398;38913;35950;5974351
"43 Rio Grande do Sul";41659;64461;61234;64092;56682;58247;64275;63307;61104;61714;57042;58904;54304;55891;62693;62315;61606;61496;63848;63995;62598;62575;60795;59802;58610;56761;60012;60922;63277;59576;62912;62649;60057;60172;60245;60606;55190;52971;59100;55720;59648;64251;62533;58316;58515;58878;59869;55532;55129;56873;62474;57750;62152;64286;65520;65583;58619;58967;59992;52988;58757;54850;60976;62687;64184;60407;66300;65703;61664;64273;61999;60845;61633;59274;59741;61808;64433;64032;66808;65097;65246;68097;64066;60328;61131;58537;65855;65589;65444;66878;68309;66875;63195;62945;65321;61264;58250;60378;62317;62320;62991;63325;65349;66100;61650;65231;62068;62166;59566;55093;61339;60454;66012;64900;67253;65771;64834;63155;63014;60483;60290;56626;62121;62668;62608;62111;64163;64618;63681;62820;61342;59650;59639;59375;60378;62382;65801;65425;68291;68364;65913;68621;62755;61358;63900;61708;63630;51051;50207;51061;53266;52590;52625;59275;57395;55911;56846;54441;56089;55413;58035;59732;59466;60362;58692;10072559
"50 Mato Grosso do Sul";9708;11309;12146;12705;13233;14621;13797;13451;14174;13296;12149;11766;12553;12219;13202;13608;13750;13578;14058;13568;13811;13640;13036;12723;13637;14033;14148;14009;14359;14150;13581;13623;14137;13669;13471;13231;12913;12413;13536;13615;13025;13097;13530;13229;13932;12688;12900;13277;11914;12509;12848;12974;13207;13331;13609;14091;13432;13245;12088;12471;13338;13018;13559;13483;13464;14353;14687;15132;14022;14398;14259;13073;13351;13120;13182;13663;14156;13516;13810;15347;13321;13371;13747;13281;13201;13530;13949;14452;14481;14433;14426;14069;14282;13898;13442;12222;13789;13264;13815;13704;13908;14193;14369;14309;14093;13396;13536;13346;13209;12754;13463;13477;14416;14281;14505;14657;13995;14248;13965;13715;13771;14532;13817;14305;14665;15252;14954;13941;14477;14062;14023;13390;14519;14545;14030;15491;15317;15362;16005;15819;15351;15510;14387;14561;15042;15360;15339;13343;12957;12348;12590;12387;12094;11946;12612;11791;12993;14123;13788;13292;13886;14815;14358;14024;13294;2255934
"51 Mato Grosso";10044;14395;14187;14900;14752;16448;15536;15454;14209;16079;13891;14336;14070;13525;16130;15202;16099;16137;15286;15085;14380;15414;14743;14324;14850;14688;15646;15507;15828;14924;15679;15338;15461;15324;15252;14030;14768;14287;14585;15920;14563;14408;14284;13098;15299;14658;14677;15031;13601;13972;15640;15795;15658;16447;15970;15864;15858;15099;15032;15237;14926;15144;15705;16049;15461;16347;15136;15739;15175;15112;15638;15606;14628;14592;15560;16004;15959;15960;16065;15943;15897;15690;15976;14598;14621;14852;15725;15871;16589;16297;16059;15806;16154;16236;15736;15607;15859;15003;16434;17067;16290;16899;16566;16869;16822;16275;15466;14575;15237;14934;16010;16568;16823;15769;16366;16614;16098;16119;15756;15111;16212;14872;16859;16367;16786;16390;16681;15649;16307;16059;15381;15013;15057;15015;16687;16517;17473;16481;16651;17661;16593;17408;16292;15904;15437;15760;15192;12933;13423;12323;13036;14106;13864;15122;14073;14249;14973;14548;15344;15402;15635;15322;16944;15848;13652;2542398
"52 Goiás";27429;36355;34134;35241;35112;30776;33525;33475;34396;33196;27431;29554;28863;30814;33263;33205;34830;33525;32728;32873;32765;33674;32896;32501;33231;33552;35186;34043;34275;32798;32154;33409;33837;32509;32406;30615;32115;32107;34698;33480;32445;31118;31286;31842;32208;31050;30778;29372;29604;30220;32126;32028;30866;30405;29357;30375;30599;30522;29125;27954;30034;30936;32611;34686;34862;32408;32615;33167;33594;31848;32113;29664;32200;30261;30773;32090;33916;31989;33286;33331;33526;33594;30615;31062;31593;30651;34190;33528;34163;33620;32274;31428;31049;30945;31302;28869;29724;29749;32544;32076;30636;31462;29761;31976;30423;29304;28883;29094;29505;28796;31860;30928;32999;31457;30550;30653;31393;31652;30733;29990;30608;29117;31520;30570;32360;31233;31692;31684;31551;30716;29297;29788;30849;30046;32145;32642;33843;32716;33526;33814;32519;33586;31828;31179;31764;31516;31758;26525;26825;26202;27466;29425;28706;30131;28715;29357;30211;28853;32428;31026;32180;32386;31790;31378;28883;5207551
"53 Distrito Federal";6412;9702;12274;11988;13743;14435;14372;15619;13058;15866;11990;13279;11839;9800;12886;12742;14569;14941;13113;13282;12872;13290;12062;10794;13559;11121;13826;13472;14140;12547;12868;13316;12431;12310;12186;11516;11986;11933;13333;14225;14782;13578;13392;12411;12479;12333;10628;10629;12594;12508;11721;13581;12760;12389;12812;13290;11874;12113;11986;10466;11860;13432;13596;12911;13207;11716;12287;12795;11683;11638;10950;8334;10527;10553;10859;9821;12328;11040;12375;12820;12272;12297;10894;9580;10851;10513;11826;12143;12675;12075;12449;11620;10899;10164;10712;9811;10617;10424;12486;12908;13638;13150;11906;13553;12015;11671;11937;11445;13017;12729;14595;12567;12659;12023;11332;12597;13287;13313;12672;11831;12328;12777;13934;14372;14849;15768;15717;16143;14132;12567;12325;10884;14596;14518;17019;15208;16008;14801;15859;17526;14331;14427;13382;13900;15828;14573;16783;14725;12883;13120;13092;13073;12374;13506;12823;13872;15275;14030;16212;16917;15600;16093;15579;15763;15223;2126623
"Total";651615;824348;889296;916303;944567;963816;973736;959556;955490;948185;856024;860667;829164;845575;944889;928836;964271;944227;964845;961473;955836;952503;936962;900228;919891;882894;968799;964479;981715;945855;958727;965996;952785;942332;945457;929035;919607;909568;957377;959450;955330;944025;969386;936688;945423;937398;929181;918138;891324;879909;959321;942655;972843;952789;954068;956391;925784;920917;894230;842358;885731;858673;921443;960357;966616;944932;966194;974165;948254;965762;922946;882087;924971;899389;912747;923068;976560;935747;976338;982036;979298;977116;943535;889482;910439;882933;967987;967912;983744;973342;986558;971414;955193;951612;929859;896723;899463;905332;962646;964518;972642;976958;967712;983409;945324;929000;901437;888627;894500;873186;968166;931001;1001476;974174;980882;995404;973989;978267;959215;939601;953217;914059;994222;1006271;1018405;997341;1014144;1020329;989064;1007504;968737;933348;981163;947852;997216;1016479;1064017;1017673;1050891;1057626;1029394;1052862;999315;967238;1000995;967287;956433;775289;786624;791897;848124;858918;866968;908368;901827;871033;897015;891789;938263;934813;969585;975568;964992;950455;848728;155169967
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
