 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Período:Jan/2008-Set/2021
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"24 Rio Grande do Norte";9823;12707;13967;13978;15215;14132;14585;13784;13818;12987;13486;11683;11366;12068;13613;8876;15272;14614;14686;15060;14777;15095;15148;14566;14380;13328;15615;15200;15577;14263;14196;14200;14314;13715;13585;13307;13683;13889;14650;14763;13865;14194;14927;13769;14380;13634;13531;14358;13224;12600;14796;14034;13830;13485;14144;14173;13539;13038;13338;11836;11715;11385;13620;14237;14134;14187;13916;13937;14764;13945;13843;12429;12610;12776;13471;13167;14175;13400;13851;12583;12944;13579;13304;11981;12360;11593;13517;13172;13810;13583;14633;13916;13958;14265;13289;11964;12525;12258;13900;14091;14091;14042;13509;12617;11099;13568;12572;12914;12569;12162;14018;13925;14588;13438;14447;14031;13464;13182;12931;12560;13019;12793;14155;15331;15662;14541;15407;14867;14511;14420;14427;12501;14655;14025;15233;14746;16506;15252;15682;16357;15120;14923;14791;14197;14716;14739;14497;12442;11930;12670;13517;13721;13702;14599;13919;12864;14400;12835;13500;15005;15692;15418;14856;13886;12398;2271607
"25 Paraíba";17348;17741;19516;20234;19728;19439;19910;19687;19245;19464;18193;17896;17648;17604;19925;19924;21345;20134;20419;20457;20297;19742;20507;19612;19640;18884;20491;20026;21125;20040;21167;20881;19940;19642;19414;18769;17997;18507;19814;18505;18072;17520;18567;17723;17853;17469;17318;17076;15927;16152;18148;17494;17864;16734;17115;16956;16528;16281;16351;14933;15408;14785;16641;17516;17928;17971;17869;17572;16919;16239;16082;15675;15843;15065;15762;16395;16310;16074;16059;17106;17064;17220;16072;15483;14912;14202;15934;15728;15828;15798;16255;15979;15519;15345;14096;13842;13517;14946;15601;15459;15757;15643;15054;15724;14814;14961;13939;13948;14637;13851;15520;15653;16667;15717;15214;16067;15893;16021;16064;15286;14418;13967;15881;15822;16700;15915;16373;16847;15422;15459;15237;14526;15153;14274;16012;15939;17625;16321;16710;16773;16602;15940;15957;15173;14262;14369;14166;11693;11403;12433;13469;13773;13421;13952;13792;12685;13190;14360;14326;15424;16778;16249;15437;14861;14194;2740670
"26 Pernambuco";25525;35450;40558;45294;44451;42951;42509;45693;44293;39997;40272;41410;36396;38060;39868;42085;42728;42168;42093;42516;42710;43790;42474;40387;40618;37640;41220;43249;43211;43884;43611;44564;42121;45069;45106;43483;41870;42863;41450;44412;44151;43543;44367;43673;43872;46038;42811;43378;41421;40022;41983;46265;45461;46138;44167;45477;43265;41731;44212;41736;39929;39700;44104;44067;45553;46024;45837;46965;44616;45625;43474;43974;41047;41092;41621;43835;46194;44896;45764;46190;47466;46639;45609;42669;42592;40001;45219;45033;45718;45268;44094;44801;43146;43062;43304;41150;42535;41461;44243;43742;45292;44759;45702;46506;45381;43515;41286;41296;41695;41694;45472;45109;49004;47686;47666;47785;46164;45695;44612;44561;43630;41241;47021;46948;48957;46994;47019;48097;45384;46928;44963;42537;45102;43119;46160;47897;50339;47709;49400;49283;47432;49365;47708;45332;46919;42902;43523;32128;32921;35474;40775;40523;40001;40481;41742;39639;40636;38999;41915;43894;48357;48581;47548;46032;43239;7195693
"27 Alagoas";12412;14621;14190;16268;15833;16498;16163;15589;15496;16144;14763;13797;13485;13225;15475;16134;16268;15471;15568;14651;15481;15630;14867;14891;15230;13656;15813;16120;15737;15142;15529;15218;15888;15200;15174;14446;14282;14251;14136;15611;16131;15288;15611;15830;15904;15400;14773;15394;14572;13909;13942;13628;14799;14913;14840;14174;14293;14120;12424;13076;12988;12947;13284;14524;15044;14500;15508;14473;14108;15235;13318;13416;13897;12375;12189;12529;13454;13093;13905;14121;13381;13869;13852;12868;12838;12997;13552;13338;14786;14049;16111;15036;14658;13593;13993;13684;13508;13624;14334;14135;14967;15034;15408;15102;14699;14052;13296;12726;13552;13031;14173;14445;15252;15290;15708;15521;14894;15032;14110;13793;14062;13908;14468;14928;15348;14183;15155;14688;15067;14938;14401;13625;13684;13498;14043;14016;14779;15025;15701;15057;14790;15204;14512;13800;14236;13172;13554;11430;9891;9106;10993;12262;12011;13240;13694;13448;12429;13789;13346;14221;14294;13485;14361;12791;11346;2356552
"28 Sergipe";5617;6813;8490;8707;8354;9082;9605;8494;9084;8098;7354;6558;6395;5846;7170;8014;8674;7759;7592;7241;8198;7170;7915;6889;7123;6183;7113;8173;8638;6887;7893;8057;8012;7396;8010;6765;7557;6763;7498;7099;7535;7163;7591;7438;7723;7388;7028;6904;7016;6711;7491;8027;7807;8534;7461;7751;7229;7480;6809;6361;6526;6825;7995;7761;7384;7098;7898;7396;7107;6807;6847;6572;7206;6683;7154;6939;7572;7363;7139;7165;7750;7473;7346;6879;7072;6886;8027;8119;8486;7941;8139;8170;8060;8044;7733;6938;7053;6903;7897;7933;8460;7854;8466;12162;6301;6238;6794;6810;6934;6678;6867;7542;8423;7425;7685;8341;8215;8005;7249;6811;7262;6844;7152;7834;8206;7824;8422;8444;7899;8363;7408;6991;7742;7114;7172;8171;8783;7715;7931;7737;7767;7927;7867;7075;8018;7841;7839;6533;6242;5858;6530;6954;6712;7549;7674;6814;7285;7875;7586;7331;8134;8210;8079;7479;7092;1240564
"29 Bahia";41535;51568;59715;74555;79825;85070;79278;78328;76672;74900;63972;64131;59141;67947;76479;75646;73636;74301;74850;75929;77929;74459;75355;72314;72272;69724;78192;76398;77882;71821;75075;77545;74528;74916;73547;70896;71975;69163;76287;76555;67911;74269;76354;74114;75269;72673;73298;69122;68057;68128;75480;73278;74688;72377;73581;74064;70987;71113;67447;60337;62385;59631;65599;68962;68719;69299;73043;72833;69288;73918;65881;63782;67063;65081;65251;67701;68515;66082;72024;72806;73651;73423;66975;66714;68320;62499;71944;68890;70788;68236;72139;73139;72301;72506;70928;64654;64517;66361;70112;71579;69941;67146;68418;71656;69278;67866;61204;58995;62815;59106;66889;64381;68876;69330;66524;67151;70070;72906;68741;63179;67493;62446;67038;70670;71599;68181;71117;71933;69702;72292;69510;63813;66990;63667;68499;71597;73555;70572;74735;76012;73067;73298;70368;66480;66931;65522;66203;54362;52389;51665;54929;55748;57040;61853;61892;59813;56310;56699;62393;64021;64058;65862;65808;63828;60361;11351190
"31 Minas Gerais";68060;90581;97086;94801;97196;107750;99576;99332;99107;100166;93479;89323;90415;89085;96134;94887;98744;94740;97389;96856;94524;94956;94097;89394;92894;88446;97562;96406;98563;94861;96383;96914;94775;94216;94526;94376;94284;91448;96828;97455;98362;96282;101214;99545;97215;95215;95970;95919;95357;90505;100847;95402;101272;99803;100515;99830;98572;99256;92921;92117;96462;90329;98325;99900;101231;99864;101972;102377;100893;102679;100155;95825;101026;98440;101546;99159;108684;102821;105880;104263;105496;105079;103927;96912;97809;95406;103187;103309;106142;103936;103261;99454;102539;100444;98648;96909;97132;95636;102059;100415;102281;103897;101599;101802;99064;96176;93669;98005;96068;91312;101284;96372;104133;101168;102929;103653;100213;99994;100205;99466;99737;95265;106076;106284;106272;105265;107462;106748;104858;105076;100971;101160;103654;101850;105752;109181;115530;108431;112939;111224;106933;111041;103480;102084;106553;101078;96482;82595;84519;82952;89780;90563;92928;95352;94290;91767;93756;93947;98173;97202;101021;101658;102764;102055;92817;16286080
"32 Espírito Santo";9613;13120;15206;15204;14033;16037;16821;15995;16720;16655;15777;14230;14019;14915;16271;16851;17612;16564;16608;17610;16773;16743;15880;14863;16142;14764;15798;15075;16607;16172;16503;16221;17052;17071;16856;16954;17010;16095;18016;17339;18623;17764;18065;19228;17399;17358;17747;17459;17165;16624;18238;18234;17803;17780;17877;18367;17981;17852;17756;17287;17449;16434;17082;18183;18458;17943;17695;17819;17603;18512;17890;16894;17905;17284;17036;17217;19073;18458;19401;19688;18880;19688;19108;17472;17943;17449;19150;18981;19013;20212;20659;19760;18531;19086;19631;17621;18867;17930;18900;19151;19738;20283;19905;20137;19171;19320;19239;19887;19232;18426;20618;19722;20530;20752;20402;20321;19515;19922;21514;20096;21105;19745;19598;21074;21534;20359;20409;20558;19584;20189;19326;18931;19405;19013;19344;19511;20583;20023;22156;21866;21378;22001;20106;21093;21515;20236;20506;18782;18656;16520;17398;16905;17757;18838;19096;19662;20466;20234;22153;21706;22135;21813;22951;21600;20608;3037616
"33 Rio de Janeiro";34786;37048;57279;51322;56321;59806;57539;58742;58466;56243;49675;51406;48729;47765;52907;52060;56023;53823;57165;55616;55200;53347;54118;51737;51684;51718;57191;56052;58937;55942;58899;58970;55116;54497;53826;53533;52901;54012;56458;57138;59338;56068;55635;53962;53504;53470;52492;52521;48607;46142;56204;53284;56186;56819;56642;56498;52389;52954;48286;45893;49407;46217;50809;52841;54306;52196;54889;55246;53451;53111;50096;46756;51373;51001;49782;50993;52690;50056;56495;56193;56834;57309;53505;50036;53620;51618;58607;58691;58283;58386;61081;58434;56420;57040;54181;52590;53592;51724;57738;55596;53970;54411;54653;55988;52450;49930;50117;49374;49109;48969;54069;51037;57399;56332;58211;59542;56207;57170;54643;53246;56110;52416;58517;60269;61213;59902;62303;60925;58688;59330;57202;52563;60341;56594;57396;58080;64654;60970;64216;64523;62624;63252;60408;56877;60095;55777;54259;46530;51330;51885;56550;56108;56074;56771;55474;56160;56914;53948;62634;60097;63847;62590;62565;63471;61668;9085031
"35 São Paulo";124588;154591;168253;177424;198818;191989;200727;193168;195601;192933;172799;173812;161788;166724;193419;184117;195794;192661;197167;197287;198170;194885;193008;180582;186711;177820;199839;201084;198457;193728;194582;197477;200011;191150;195738;197630;187366;188713;199643;198161;204252;190369;205255;195397;197418;195236;193411;189133;180716;184224;202096;196890;204084;192871;198254;203621;193327;194262;188435;176477;187845;177139;187091;203153;200856;193922;196994;204472;197567;203840;188906;177670;193286;186775;190871;192353;206262;194914;205544;206608;199374;201611;193680;182414;189720;184806;203348;203489;204861;202181;203953;200525;196440;196190;188170;189829;184224;187830;204404;202942;204599;209956;205013;204407;197910;193354;191466;190485;186362;180556;209831;192639;213146;203392;203603;211875;200693;203458;199316;196745;197740;191447;209939;208877;211383;203711;206452;211189;201876;210640;200452;196172;204496;196641;210409;214519;220273;209116;214271;219988;210331;218876;204776;197689;209246;198902;201765;152170;157283;166288;181129;178757;185194;190418;189511;182180;189978;184814;192390;185608;194456;193405;191727;190979;183396;32079867
"41 Paraná";51255;62026;63326;60831;60837;63180;63077;62085;62312;63226;58223;60730;61736;60644;64802;64609;65192;63550;65674;64632;64184;64559;62857;63089;61002;60180;65438;65846;66560;66041;65998;66775;66088;65774;65876;63841;64740;62595;63729;65557;63912;64294;65105;62374;61905;63245;62918;62965;62315;60133;63627;63503;66392;65224;65062;66314;65352;64119;62462;60414;60693;59224;62042;63934;63982;62894;63736;63772;63664;62987;62924;59029;60631;61135;60498;60580;63256;61906;64526;65555;65839;64470;63608;59740;59983;59389;62790;63772;65242;64703;65380;64592;64061;63230;63928;62128;61967;61372;66049;66826;68996;67875;68634;67673;66806;66652;65232;63093;62234;63594;67973;67053;70117;68322;70311;71488;70356;70684;70538;69858;70624;67353;71150;72573;72463;72268;73932;73600;72831;73449;73700;68967;71882;70385;72334;71822;75257;72810;74641;73535;74257;74800;73818;69402;72163;73697;67326;55063;59726;51805;55158;58259;58932;63490;62845;56803;58657;63076;60270;63211;62498;63306;63968;65804;51520;10703267
