model,mae,rmse,r2
modelo_base,111.58567609354058,157.4038807003763,0.20523960408015074
modelo2,106.55977968739316,156.00387461974097,0.21931449401851777
modelo3,105.33622035085561,154.29879289232719,0.23628661253840122
modelo4,105.2730999188413,154.21806910442623,0.23708550033033604
modelo5,105.68392436126483,154.76578466025106,0.23165679576326137
modelo_final,74.09101695960277,119.6484437352596,0.5407814162768971
